name,group,ok,r_bar,coverage,n_r,n_dr,r_min,r_max,r_sd,r_p25,r_p75,dr_min,dr_max,dr_sd,dr_p25,dr_p75,err
roundabout_PCG_582,PCG,1,10.791391349880188,1.0,137,137,9.893595607487324,11.500923186304885,0.380691262832959,10.617857154260221,11.064418477748454,-0.10481672192595681,0.09732172720554821,0.0479419836894785,-0.03082860065728532,0.03693117466018769,
roundabout_PCG_583,PCG,1,11.196331860820164,1.0,142,142,10.46568959531954,12.122348386366165,0.46034512194309757,10.852768244088098,11.59684956529662,-0.11013296750861556,0.08884413860913476,0.04909663508011738,-0.03371421972480615,0.03856103177410697,
roundabout_PCG_584,PCG,1,11.321481379333287,1.0,143,143,10.914206635125597,11.81405223876784,0.21236047081077858,11.185879302186105,11.443538036017726,-0.043201342353320626,0.07705737235326815,0.027754188556024503,-0.01756258167737368,0.015344388663179664,
roundabout_PCG_585,PCG,1,11.055897496990129,1.0,141,141,9.79224705053778,12.190939095143978,0.673076987055394,10.576155723740218,11.606413897302117,-0.15196583026774135,0.12857709624888614,0.07645213874777487,-0.063239065560456,0.04593632915329593,
roundabout_PCG_586,PCG,1,11.249528827519885,1.0,143,143,9.947854120836299,12.563385979788793,0.7672291516083511,10.57751176537181,11.906540579337825,-0.10575379558698295,0.1539150122174462,0.07729488592012361,-0.0603537796058351,0.07147908569440986,
roundabout_PCG_587,PCG,1,11.266461267025798,1.0,142,142,10.793002120996258,11.667927374831567,0.21163792499871426,11.140121346811618,11.404165959449136,-0.054850831386085375,0.061155486910569934,0.027257644417792118,-0.02030535341515005,0.020154355307947736,
roundabout_PCG_588,PCG,1,11.130763353051208,1.0,141,141,10.457282932303395,11.637040021298288,0.34277133961387946,10.84280528839663,11.359109954201779,-0.10928901238627198,0.06920142683245523,0.04117953673119464,-0.026570502239016136,0.03338004617154766,
roundabout_PCG_589,PCG,1,10.824754253605082,1.0,137,137,10.055172168758867,11.794473962549196,0.3908137658441242,10.532066983712472,11.045133334682319,-0.14327894925219908,0.1123154081593114,0.05286438569366897,-0.02248798161093646,0.01911327846561406,
roundabout_PCG_59,PCG,1,10.891386222715456,1.0,139,139,9.365772915766028,12.041018429169908,0.6826388283686188,10.465771751436872,11.407946943928772,-0.2517423549936826,0.09728570866387187,0.08393720052601256,-0.03670029916302209,0.06118933028089213,
roundabout_PCG_590,PCG,1,10.87216280996057,1.0,138,138,9.99772384124807,11.440629839697136,0.38031784168681815,10.585397431161013,11.143512749518072,-0.08369999736857636,0.12173132286295463,0.04295693587559675,-0.026083356294082982,0.021516279869727484,
roundabout_PCG_591,PCG,1,11.267053801282431,1.0,142,142,10.984973608320917,11.566048641119805,0.13105637944818663,11.213672044978988,11.354519617952652,-0.05002345883958448,0.04539664139823962,0.02030744051256162,-0.011437860123132637,0.012233284124375743,
roundabout_PCG_592,PCG,1,10.925093641255401,1.0,138,138,9.849064498224193,11.869574580378817,0.5546864356977462,10.450052705204408,11.439824728725764,-0.09081307353382684,0.1348923018632675,0.05750842259162951,-0.06256566971896049,0.04700712232443616,
roundabout_PCG_593,PCG,1,11.301191550684006,0.9159722222222222,136,135,9.418650927089942,12.652581136095305,0.8901965327931098,10.697607222117481,12.08994654286587,-0.49999921640980816,0.15794942982492266,0.11413420941065504,-0.0787496242689878,0.08369121054304429,
roundabout_PCG_594,PCG,1,10.965002976152423,1.0,139,139,10.32653987374117,11.70285085692079,0.3802824765498154,10.65702877183626,11.269036080736027,-0.10070686162466025,0.08564830469756046,0.04191888155192319,-0.02020480235696631,0.030012471222796933,
roundabout_PCG_595,PCG,1,11.60486087508066,1.0,147,147,10.974645830103954,12.165550891681029,0.3506633190104676,11.310697078749648,11.870767116170946,-0.07833630223790422,0.09939891467144513,0.04271800219596551,-0.03242968458477247,0.03382353789358916,
roundabout_PCG_596,PCG,1,11.212974320835878,1.0,142,142,10.437388115497349,12.052096087184816,0.3716184079081329,10.98298782742238,11.409893629581836,-0.1419029601839359,0.07182138312164454,0.04656555232234182,-0.021222992250272465,0.03384569563114859,
roundabout_PCG_597,PCG,1,10.938341638845555,1.0,138,138,10.23634799956307,11.53301710789548,0.30513532947378114,10.775286774499333,11.145121028296554,-0.07750544359289968,0.12364823918173506,0.044296491051304225,-0.03306961055790181,0.015915185734270754,
roundabout_PCG_598,PCG,1,11.154115685317514,0.9840277777777777,141,140,10.190100149739324,12.404100374894135,0.6128649344549422,10.557065114917917,11.628725136327835,-0.499479445545683,0.14657297164117722,0.08505234516524197,-0.05163215309840474,0.03428826429451082,
roundabout_PCG_599,PCG,1,11.234406085894653,1.0,142,142,10.558081750027199,11.761364791534389,0.3660786826305948,10.887022798069328,11.581954417172037,-0.11834343418987814,0.08539540576978233,0.05172451775043004,-0.03935208687790759,0.044249642044872584,
roundabout_PCG_6,PCG,1,11.487752093375663,1.0,145,145,11.012360815286177,12.119087213113712,0.3244597838855598,11.20445845407673,11.775548319530772,-0.06503298478781439,0.10708116414249425,0.04544338958056329,-0.03707488787831714,0.029158085241174803,
roundabout_PCG_60,PCG,1,11.105891773929592,1.0,141,141,9.936523035139759,12.048934083203823,0.5205091461425475,10.756251871839725,11.546077598304118,-0.08414071470146389,0.14433342062635113,0.05823672056585305,-0.0546824949125817,0.03217733846950388,
